ts_code,trade_date,close,pe,pe_ttm,total_mv,circ_mv,pb,turnover_rate
002161.SZ,20250808,7.93,210.6552,,586627.6182,565773.2281,3.9143,8.3752
688217.SH,20250808,30.75,,,171756.8802,171756.8802,1.882,3.1009
603638.SH,20250808,18.48,44.6294,42.91,1535851.3965,1535851.3965,4.646,0.5206
600860.SH,20250808,12.98,950.4244,3400.9054,710636.8124,574061.2524,6.6181,3.6958
603317.SH,20250808,11.16,19.0277,22.7086,1188535.8641,1188535.8641,2.9229,0.3226
600765.SH,20250808,17.44,42.9502,53.2392,2747658.3148,2728380.1388,1.9635,1.3618
603282.SH,20250808,18.67,24.4851,29.159,249841.94,119832.385,2.0,5.6356
600729.SH,20250808,29.44,9.864,9.4184,1296760.0987,562929.1407,1.7647,1.1816
300467.SZ,20250808,22.82,225.8111,285.8998,463713.575,384647.6993,7.3754,4.9635
002529.SZ,20250808,6.39,,,166140.0,166140.0,6.1979,1.6049
300928.SZ,20250808,35.72,,,285760.0,189362.8039,2.5243,3.3635
300773.SZ,20250808,26.67,59.8469,86.3431,2101816.0275,1958471.4797,6.3056,8.9405
001301.SZ,20250808,51.76,16.1046,14.5351,1350094.1236,835387.637,2.1533,1.3105
301050.SZ,20250808,53.9,38.5038,42.1642,1319427.6295,1121615.4111,4.3856,5.4054
000829.SZ,20250808,10.15,333.6584,,1040476.9446,1039491.614,3.5293,1.4015
688498.SH,20250808,235.0,,,2019771.561,1413507.8685,9.6815,7.4656
430510.BJ,20250808,21.65,189.4037,307.7417,398823.1563,203291.5039,9.8213,2.715
603261.SH,20250808,21.9,,,170617.6922,169735.9982,2.3852,1.3889
688211.SH,20250808,34.64,,,455892.5299,455892.5299,1.2938,0.5046
002726.SZ,20250808,5.36,267.5731,,578430.1293,577332.6693,4.3295,1.6006
600143.SH,20250808,13.61,43.5159,37.0814,3588429.8806,3534823.9953,1.9903,6.7947
600569.SH,20250808,2.37,,,680763.8685,680763.8685,2.5445,1.2856
002585.SZ,20250808,5.68,,,651739.5084,507146.0897,0.7402,1.6152
600809.SH,20250808,179.13,17.8497,17.3053,21853219.1087,21853219.1087,6.4272,0.3685
301228.SZ,20250808,27.83,,,333960.0,333275.382,4.6837,3.3026
002700.SZ,20250808,7.79,34.5792,35.1466,322216.3561,260759.09,2.4415,4.0382
688192.SH,20250808,73.0,,,3353714.1262,2991015.0278,18.7159,0.4364
300945.SZ,20250808,20.5,55.8904,50.2459,537246.8395,488582.6439,3.313,10.986
002110.SZ,20250808,4.92,,,1195105.5037,1195105.5037,0.621,1.6388
002831.SZ,20250808,24.48,16.1718,15.9183,2277897.1777,1275391.5299,2.0392,0.5333
920007.BJ,20250808,83.22,38.8154,36.932,349524.0,88569.7977,5.7077,77.2106
300739.SZ,20250808,15.57,475.7231,370.6024,541550.1317,536400.7045,2.2635,3.0149
600894.SH,20250808,10.19,10.6924,10.7688,867860.2509,859164.1895,1.0788,0.494
600651.SH,20250808,6.69,424.8847,572.663,1677201.742,1677201.742,6.8218,6.6635
605033.SH,20250808,21.38,78.422,129.1971,289057.6,289057.6,2.5332,3.2482
000816.SZ,20250808,3.16,,,457256.2085,454005.265,2.274,1.9101
300538.SZ,20250808,17.22,,,313263.7827,194829.6303,3.2631,5.6945
300766.SZ,20250808,37.05,,,1462547.8497,1327316.3908,9.1162,11.2126
688021.SH,20250808,18.92,,,144574.7526,144574.7526,1.692,2.033
001210.SZ,20250808,15.4,49.5979,43.5426,241491.521,146765.9501,1.7646,3.3763
688468.SH,20250808,8.78,27.7138,34.117,352172.824,352172.824,2.5492,3.6886
600663.SH,20250808,8.72,29.1066,24.8325,4390654.0081,2751756.1533,1.7623,0.2399
002552.SZ,20250808,16.19,25.3664,34.3019,628148.2509,518458.5157,3.6183,3.2128
