ts_code,ln_mv,pe,pe_ttm,pb,momentum_12m_ex1m,volatility,turnover_rate,amihud,roe,grossprofit_margin,revenue_growth,profit_growth
000010.SZ,27.00260993106929,302.7228,146.3291,18.0215,1.3836214037219061,0.5353616136228097,10.2519,4.358293954631956e-14,-1.9389,18.1195,76.203,
000006.SZ,27.501876401916615,,,1.6342,0.7329183359013869,0.48918678922625725,3.17,2.3942099788504287e-14,-0.4811,16.5205,540.2783,
000004.SZ,25.49689503798985,,,22.6073,-0.2073132136798438,0.5068973110193721,3.0774,1.9568310150919618e-13,-20.0864,61.1395,18.6752,
000001.SZ,30.811710576844646,5.4065,5.51,0.5607,0.27579538688350147,0.3857066750568254,0.4276,6.679782867382148e-16,2.8165,,-13.0539,
000002.SZ,29.671631857573104,,,0.3912,-0.011159555693968648,0.4403404631291593,0.5293,2.379185226817872e-15,-3.1278,6.1003,-38.3145,
000008.SZ,27.388991783646084,,,2.6258,0.38564575521097266,0.4687630252143186,5.6337,2.4562607744326645e-14,-1.416,30.8498,23.6201,
000007.SZ,26.285979744181287,46.1753,45.2675,14.3917,0.3942418125265168,0.4950665416517704,6.6006,8.562052831474448e-14,0.9839,11.5603,120.4111,
000009.SZ,28.480892974865903,135.516,86.5046,2.315,0.09720517210182744,0.49379781023063524,0.5622,9.333468196073953e-15,1.6841,28.2527,-2.7199,
000011.SZ,26.973059269050086,,,1.5385,0.21184982797004648,0.478440004488658,0.8758,4.267272835692987e-14,0.1488,25.8386,21.3521,
000017.SZ,26.807789856324767,260.6141,224.7374,12.5621,0.1472508513565325,0.593384490563753,3.8076,5.512527660027564e-14,1.7036,7.9324,42.4662,
000014.SZ,26.43713682564732,184.2624,,1.8776,0.5537109109218082,0.5215463201669338,2.4943,7.63121812902193e-14,-0.5892,30.3141,-96.2314,
000020.SZ,26.69064087780882,106.2867,104.7518,9.5336,0.4448271036571625,0.662974011528648,5.4712,5.88079324568379e-14,1.4568,9.3739,-3.2201,
000012.SZ,28.014779547616943,55.0204,,1.1005,-0.011896860688922817,0.47431949115285277,0.5415,1.398247225614701e-14,0.1172,13.3405,-22.2535,
000019.SZ,27.40914176704859,24.6231,22.7085,1.6556,0.18394806292102794,0.4998550544496947,1.4917,2.7207071675934292e-14,1.8392,17.5731,14.3265,
000016.SZ,27.80254886704527,,,5.0135,1.4209273182957392,0.4754196011848045,1.9484,1.685874439442929e-14,4.0025,5.616,3.3246,
000021.SZ,28.690728477647,31.0156,29.2211,2.4334,0.34039561300430854,0.46680367670084927,1.4622,7.241065810050929e-15,1.4891,16.2378,7.6209,
000028.SZ,27.9838846369442,22.1502,24.4642,0.7998,-0.1603227515244403,0.4199126600729813,0.4932,1.292164766190507e-14,1.8392,10.3447,-4.1747,
000026.SZ,27.301146416179524,32.6305,37.8115,2.1862,0.9341470903815434,0.4532261688278476,15.2104,2.7456805334767755e-14,1.3242,35.091,-13.2322,
000029.SZ,28.382644428423152,,,5.9115,0.9480967308117414,0.5215200873463466,0.6013,1.1133847382600195e-14,2.0403,29.2066,457.3832,
000032.SZ,28.64319838068368,83.4506,98.7593,4.3528,0.7046972322390299,0.5099317399586885,3.373,8.309879428084934e-15,-0.5259,8.4155,-18.408,
000027.SZ,28.794710347477974,15.9675,14.2193,1.0025,-0.0164679450104549,0.38999835189596854,0.8906,4.961916728564679e-15,2.7425,26.2632,1.7763,
000031.SZ,27.899004615496303,,,1.2626,0.30705728380146957,0.48753252047941786,0.349,1.5971748811580943e-14,-2.4597,34.5989,32.2146,
000025.SZ,27.3236606801635,53.8232,54.2278,4.2805,0.28230854964819574,0.5245137333285015,1.7192,3.114721704456795e-14,1.9626,20.1342,-56.6805,
000030.SZ,27.68872711140164,15.6673,15.6573,1.3721,0.22587076011733553,0.45288481742404707,0.4798,1.993804832865096e-14,2.0356,10.9834,-3.6449,
000035.SZ,27.708295380782783,38.5864,58.7318,0.9983,-0.006709533128319789,0.5137695585844195,0.5176,2.080250623002669e-14,0.9751,34.4421,-3.6359,
000034.SZ,28.668314972585,37.4863,38.3864,2.6893,0.6584640477963641,0.5196038873524572,5.7393,8.572168096761568e-15,2.1809,3.7265,8.5643,
000036.SZ,26.951339979249884,125.0935,196.3196,1.0479,0.2787416881654009,0.4625713407905021,0.7221,3.8190554167723315e-14,0.1129,48.6243,4.2665,
000037.SZ,27.055439173264332,256.6899,145.4116,3.8146,0.26221991221991225,0.48556892554520936,4.3145,3.715271573710303e-14,-0.8315,3.4842,-27.5121,
000045.SZ,27.036093140942484,61.7204,61.6604,1.8783,0.44487405960087845,0.4999560685612675,1.9138,4.049726858374184e-14,0.7043,15.445,2.1779,
000039.SZ,29.115141053066733,14.8404,12.8509,0.9336,0.021187181496182816,0.44285055084450964,1.1792,4.1653841229115995e-15,1.0683,12.0999,11.0448,
000042.SZ,27.08468561696563,,,1.6685,1.2895023961327161,0.45827272662900587,0.5817,3.38627354427438e-14,4.1127,53.5173,-38.3131,
000048.SZ,27.476010205642474,11.9979,11.0976,2.0266,0.14361881166327062,0.44709967053797095,0.8513,2.296537280632219e-14,2.5756,20.9792,-11.9003,
000050.SZ,28.466261131525822,,,0.8421,0.30407921491152123,0.511765677188826,0.4343,9.6931783686163e-15,0.353,16.2471,7.2522,
000049.SZ,27.515843102964787,21.5782,21.3301,1.3714,-0.06986196716216919,0.5134123773619723,1.0871,2.5770706663597028e-14,0.7371,9.968,6.6892,
000056.SZ,26.61450564463616,,,31.9393,0.9053254437869823,0.5563576248432083,7.2479,6.825852824121879e-14,-25.9064,63.1612,-29.3494,
000055.SZ,26.839544033148417,31.2936,35.8603,0.7421,0.2716688582073198,0.4803692811039176,1.2186,4.575006073990205e-14,0.5376,21.6828,-17.6106,
000059.SZ,27.471442415247967,,,0.7668,0.3583888930979622,0.4364834742587855,0.9138,2.288743872198657e-14,-3.0229,11.7779,-3.0503,
000058.SZ,27.732538720744085,294.6784,311.1164,5.4991,0.6484756269371652,0.5059509077997314,2.2532,2.0344810263481594e-14,1.1342,25.9172,-13.5603,
000060.SZ,28.24018871880176,16.9975,16.4843,1.351,0.1779339853300732,0.47709581115009914,1.1838,1.0939110766418823e-14,1.9062,5.1233,-10.7792,
000061.SZ,27.75639485979286,29.5067,30.1415,1.8079,0.26909872897295917,0.4423034689517657,0.4621,1.5929955532137613e-14,1.1725,22.0157,46.7714,
000063.SZ,30.41348472361987,19.18,19.8584,2.3306,0.24419569964305832,0.4481094831358994,1.2026,1.2079939400602027e-15,3.3815,34.2714,7.8157,
000062.SZ,28.62408470830804,126.757,103.3754,3.9337,2.063612696892907,0.49075608632437967,1.6048,7.973226740815003e-15,1.5073,8.4016,17.2383,
000065.SZ,27.856977884513718,11.9438,13.0237,1.2844,0.2046808510638296,0.5152713426390465,5.8603,1.7534309090469515e-14,1.8265,13.0318,-27.2168,
