ts_code,amihud
000010.SZ,4.358293954631956e-14
000006.SZ,2.3942099788504287e-14
000004.SZ,1.9568310150919618e-13
000001.SZ,6.679782867382148e-16
000002.SZ,2.379185226817872e-15
000008.SZ,2.4562607744326645e-14
000007.SZ,8.562052831474448e-14
000009.SZ,9.333468196073953e-15
000011.SZ,4.267272835692987e-14
000017.SZ,5.512527660027564e-14
000014.SZ,7.63121812902193e-14
000020.SZ,5.88079324568379e-14
000012.SZ,1.398247225614701e-14
000019.SZ,2.7207071675934292e-14
000016.SZ,1.685874439442929e-14
000021.SZ,7.241065810050929e-15
000028.SZ,1.292164766190507e-14
000026.SZ,2.7456805334767755e-14
000029.SZ,1.1133847382600195e-14
000032.SZ,8.309879428084934e-15
000027.SZ,4.961916728564679e-15
000031.SZ,1.5971748811580943e-14
000025.SZ,3.114721704456795e-14
000030.SZ,1.993804832865096e-14
000035.SZ,2.080250623002669e-14
000034.SZ,8.572168096761568e-15
000036.SZ,3.8190554167723315e-14
000037.SZ,3.715271573710303e-14
000045.SZ,4.049726858374184e-14
000039.SZ,4.1653841229115995e-15
000042.SZ,3.38627354427438e-14
000048.SZ,2.296537280632219e-14
000050.SZ,9.6931783686163e-15
000049.SZ,2.5770706663597028e-14
000056.SZ,6.825852824121879e-14
000055.SZ,4.575006073990205e-14
000059.SZ,2.288743872198657e-14
000058.SZ,2.0344810263481594e-14
000060.SZ,1.0939110766418823e-14
000061.SZ,1.5929955532137613e-14
000063.SZ,1.2079939400602027e-15
000062.SZ,7.973226740815003e-15
000065.SZ,1.7534309090469515e-14
000068.SZ,6.090488493331084e-14
000069.SZ,9.933220414390282e-15
000066.SZ,4.465678438756337e-15
000070.SZ,3.092012069065307e-14
000078.SZ,2.7952316473305742e-14
000089.SZ,9.466070124413319e-15
000088.SZ,7.035658279405404e-15
000090.SZ,2.949730946696848e-14
000096.SZ,2.9283312743734135e-14
000099.SZ,1.1338631536591159e-14
000100.SZ,2.1898734663839803e-15
000151.SZ,5.3330779460471935e-14
000153.SZ,6.139724926698884e-14
000155.SZ,1.1393580970693398e-14
000166.SZ,9.422058919062612e-16
000333.SZ,2.9427219094265476e-16
000157.SZ,2.7538745572898414e-15
000301.SZ,3.192846988022522e-15
000156.SZ,1.4048658731035329e-14
000158.SZ,6.3284782659296814e-15
000159.SZ,8.050231644015516e-14
000338.SZ,1.383819284953733e-15
000401.SZ,1.483295743596369e-14
000403.SZ,1.1170325131579406e-14
000400.SZ,8.63238023609405e-15
000402.SZ,2.028108459247367e-14
000404.SZ,3.920081340659752e-14
000407.SZ,6.130876521562455e-14
000408.SZ,2.629905918085732e-15
000409.SZ,2.6724693481932033e-14
000410.SZ,1.3447445653032315e-14
000411.SZ,3.69081548267022e-14
000419.SZ,6.031150423424636e-14
000417.SZ,3.9741538284463864e-14
000420.SZ,2.0274512065136892e-14
000415.SZ,9.625310054051043e-15
000421.SZ,4.871732154728495e-14
000422.SZ,1.3958195705497702e-14
000423.SZ,4.9387907684049775e-15
000426.SZ,6.536679779557998e-15
000425.SZ,1.7935203725086884e-15
000428.SZ,6.11784421171669e-14
000429.SZ,5.0756711955024055e-15
000430.SZ,6.397665775951272e-14
000488.SZ,2.4830830476132365e-14
000498.SZ,2.1536613622293108e-14
000501.SZ,2.013765340815625e-14
000504.SZ,5.988204093181257e-14
000507.SZ,3.741287099273299e-14
000505.SZ,4.7259171513935284e-14
000506.SZ,2.4036294710045038e-14
000503.SZ,2.3644995952693678e-14
000509.SZ,6.081870308583723e-14
000510.SZ,6.444301621560214e-14
000513.SZ,5.2450849259051275e-15
000514.SZ,4.747740338113736e-14
000516.SZ,1.7064597911572442e-14
000517.SZ,3.627281573675775e-14
000518.SZ,8.365349801255709e-14
000519.SZ,7.071646491057734e-15
000520.SZ,4.363803814080468e-14
000521.SZ,2.6493024401142448e-14
000523.SZ,3.4686429167337695e-14
000524.SZ,2.6210695556620416e-14
000525.SZ,2.3170676600236707e-14
000526.SZ,3.510047760678183e-14
000528.SZ,8.227872903151076e-15
000530.SZ,3.736217011038899e-14
000529.SZ,5.357290689324805e-14
000531.SZ,2.8029192021384478e-14
000533.SZ,3.969221165341654e-14
000532.SZ,4.521960633166917e-14
000536.SZ,1.615151651531023e-14
000534.SZ,2.3229493557236335e-14
000537.SZ,1.22548291134966e-14
000538.SZ,1.4972205465034888e-15
000539.SZ,6.2727547057419276e-15
000541.SZ,1.721970143603747e-14
000543.SZ,1.102593715027657e-14
000544.SZ,2.299765046492805e-14
000545.SZ,8.235874607271058e-14
000546.SZ,5.623255616340445e-14
000547.SZ,1.6188740922812495e-14
000548.SZ,6.858031641137366e-14
000550.SZ,1.1619395403219716e-14
000552.SZ,1.51346310343784e-14
000554.SZ,5.917422002577182e-14
000555.SZ,1.7381574457951506e-14
000553.SZ,1.2656017665398423e-14
000551.SZ,3.50914072196205e-14
000557.SZ,2.756281108224539e-14
000558.SZ,3.038240126659802e-14
