ts_code,grossprofit_margin
000010.SZ,18.1195
000006.SZ,16.5205
000004.SZ,61.1395
000001.SZ,
000002.SZ,6.1003
000008.SZ,30.8498
000007.SZ,11.5603
000009.SZ,28.2527
000011.SZ,25.8386
000017.SZ,7.9324
000014.SZ,30.3141
000020.SZ,9.3739
000012.SZ,13.3405
000019.SZ,17.5731
000016.SZ,5.616
000021.SZ,16.2378
000028.SZ,10.3447
000026.SZ,35.091
000029.SZ,29.2066
000032.SZ,8.4155
000027.SZ,26.2632
000031.SZ,34.5989
000025.SZ,20.1342
000030.SZ,10.9834
000035.SZ,34.4421
000034.SZ,3.7265
000036.SZ,48.6243
000037.SZ,3.4842
000045.SZ,15.445
000039.SZ,12.0999
000042.SZ,53.5173
000048.SZ,20.9792
000050.SZ,16.2471
000049.SZ,9.968
000056.SZ,63.1612
000055.SZ,21.6828
000059.SZ,11.7779
000058.SZ,25.9172
000060.SZ,5.1233
000061.SZ,22.0157
000063.SZ,34.2714
000062.SZ,8.4016
000065.SZ,13.0318
000068.SZ,7.8192
000069.SZ,5.4134
000066.SZ,13.4001
000070.SZ,17.031
000078.SZ,9.2342
000089.SZ,24.4964
000088.SZ,22.3699
000090.SZ,13.4026
000096.SZ,10.7981
000099.SZ,21.8508
000100.SZ,13.2381
000151.SZ,17.5572
000153.SZ,21.9699
000155.SZ,52.1953
000166.SZ,
000333.SZ,25.4471
000157.SZ,28.6745
000301.SZ,9.8918
000156.SZ,30.8576
000158.SZ,10.4027
000159.SZ,11.0758
000338.SZ,22.2276
000401.SZ,8.458
000403.SZ,48.0605
000400.SZ,23.4693
000402.SZ,8.8161
000404.SZ,12.685
000407.SZ,12.3019
000408.SZ,56.6595
000409.SZ,26.8626
000410.SZ,8.9571
000411.SZ,6.0028
000419.SZ,22.7264
000417.SZ,24.1509
000420.SZ,12.2426
000415.SZ,24.7477
000421.SZ,11.9648
000422.SZ,10.3803
000423.SZ,73.6171
000426.SZ,55.5659
000425.SZ,22.0716
000428.SZ,2.7363
000429.SZ,67.7465
000430.SZ,-5.4148
000488.SZ,-131.9203
000498.SZ,11.4547
000501.SZ,48.6516
000504.SZ,64.9629
000507.SZ,28.5647
000505.SZ,6.6779
000506.SZ,22.2878
000503.SZ,-14.7863
000509.SZ,6.1956
000510.SZ,7.5647
000513.SZ,64.9591
000514.SZ,18.3949
000516.SZ,5.2092
000517.SZ,7.9626
000518.SZ,64.3837
000519.SZ,14.4344
000520.SZ,2.3913
000521.SZ,11.8316
000523.SZ,12.6579
000524.SZ,20.054
000525.SZ,22.8232
000526.SZ,32.0174
000528.SZ,22.0071
000530.SZ,14.8854
000529.SZ,6.4467
000531.SZ,14.6903
000533.SZ,21.7865
000532.SZ,44.4704
000536.SZ,-18.5499
000534.SZ,75.4891
000537.SZ,52.7816
000538.SZ,31.5545
000539.SZ,4.5085
000541.SZ,19.5944
000543.SZ,15.0157
000544.SZ,57.8551
000545.SZ,2.8278
000546.SZ,-0.4993
000547.SZ,7.9314
000548.SZ,48.0444
000550.SZ,11.8074
