ts_code,pb
000010.SZ,18.0215
000006.SZ,1.6342
000004.SZ,22.6073
000001.SZ,0.5607
000002.SZ,0.3912
000008.SZ,2.6258
000007.SZ,14.3917
000009.SZ,2.315
000011.SZ,1.5385
000017.SZ,12.5621
000014.SZ,1.8776
000020.SZ,9.5336
000012.SZ,1.1005
000019.SZ,1.6556
000016.SZ,5.0135
000021.SZ,2.4334
000028.SZ,0.7998
000026.SZ,2.1862
000029.SZ,5.9115
000032.SZ,4.3528
000027.SZ,1.0025
000031.SZ,1.2626
000025.SZ,4.2805
000030.SZ,1.3721
000035.SZ,0.9983
000034.SZ,2.6893
000036.SZ,1.0479
000037.SZ,3.8146
000045.SZ,1.8783
000039.SZ,0.9336
000042.SZ,1.6685
000048.SZ,2.0266
000050.SZ,0.8421
000049.SZ,1.3714
000056.SZ,31.9393
000055.SZ,0.7421
000059.SZ,0.7668
000058.SZ,5.4991
000060.SZ,1.351
000061.SZ,1.8079
000063.SZ,2.3306
000062.SZ,3.9337
000065.SZ,1.2844
000068.SZ,5.129
000069.SZ,0.379
000066.SZ,4.4122
000070.SZ,4.9855
000078.SZ,3.92
000089.SZ,1.3195
000088.SZ,1.3603
000090.SZ,0.5856
000096.SZ,2.2993
000099.SZ,3.3711
000100.SZ,1.5346
000151.SZ,12.7713
000153.SZ,1.6287
000155.SZ,1.7875
000166.SZ,1.2589
000333.SZ,2.6862
000157.SZ,1.1711
000301.SZ,1.7477
000156.SZ,1.005
000158.SZ,6.9787
000159.SZ,1.4038
000338.SZ,1.5434
000401.SZ,0.5103
000403.SZ,2.3142
000400.SZ,2.0843
000402.SZ,0.3599
000404.SZ,1.2331
000407.SZ,1.0679
000408.SZ,5.0512
000409.SZ,5.601
000410.SZ,5.7683
000411.SZ,1.3195
000419.SZ,0.9379
000417.SZ,0.9441
000420.SZ,2.331
000415.SZ,0.6719
000421.SZ,1.4375
000422.SZ,1.9877
000423.SZ,3.3182
000426.SZ,4.1146
000425.SZ,1.7934
000428.SZ,2.303
000429.SZ,2.6335
000430.SZ,11.4437
000488.SZ,0.9047
000498.SZ,0.6359
000501.SZ,0.8186
000504.SZ,16.7768
000507.SZ,0.9954
000505.SZ,1.5566
000506.SZ,18.358
000503.SZ,7.6484
000509.SZ,27.9108
000510.SZ,2.5976
000513.SZ,2.7431
000514.SZ,1.2355
000516.SZ,3.4791
000517.SZ,1.0309
000518.SZ,6.7711
000519.SZ,3.0302
000520.SZ,10.6668
000521.SZ,1.2621
000523.SZ,3.2173
000524.SZ,3.7435
000525.SZ,3.0887
000526.SZ,7.7272
000528.SZ,1.3483
000530.SZ,1.7562
000529.SZ,1.1784
000531.SZ,1.0127
000533.SZ,6.0283
000532.SZ,3.5233
000536.SZ,13.0079
000534.SZ,5.7327
000537.SZ,0.9342
000538.SZ,2.5799
000539.SZ,1.0998
000541.SZ,1.5227
000543.SZ,1.05
000544.SZ,0.9971
000545.SZ,2.4035
000546.SZ,0.9941
000547.SZ,2.7387
000548.SZ,1.386
000550.SZ,1.6104
000552.SZ,0.828
000554.SZ,3.1718
000555.SZ,2.2677
000553.SZ,0.8401
000551.SZ,2.1785
000557.SZ,1.3611
000558.SZ,7.0664
000559.SZ,2.8683
000560.SZ,0.7429
000561.SZ,2.818
000564.SZ,2.6625
000565.SZ,2.9785
000563.SZ,1.0029
000566.SZ,17.9504
000567.SZ,2.3961
000568.SZ,4.1423
000570.SZ,1.246
000571.SZ,19.9671
000573.SZ,1.5855
000576.SZ,3.3376
000572.SZ,4.4394
000581.SZ,1.0322
000582.SZ,1.0741
000586.SZ,7.6085
000589.SZ,0.8246
000591.SZ,0.7541
000590.SZ,4.8965
000593.SZ,2.7905
000592.SZ,3.0849
000595.SZ,18.5548
000596.SZ,3.0662
000597.SZ,1.5805
000598.SZ,1.1667
000603.SZ,3.7293
000599.SZ,2.7976
000605.SZ,1.2188
000601.SZ,1.4172
000600.SZ,1.2482
000607.SZ,3.1648
000608.SZ,0.6048
000609.SZ,8.6358
000619.SZ,1.1115
000612.SZ,1.6647
000610.SZ,14.7125
000617.SZ,1.0369
000615.SZ,
000620.SZ,1.9893
000623.SZ,0.7877
000625.SZ,1.6855
000626.SZ,1.5643
000627.SZ,0.3277
000628.SZ,7.6588
000629.SZ,2.033
000630.SZ,1.5446
000631.SZ,1.2622
000632.SZ,1.9272
000633.SZ,13.3258
000635.SZ,2.7419
000637.SZ,3.6314
000636.SZ,1.3199
000639.SZ,1.1828
000638.SZ,8.6333
000650.SZ,1.3196
000651.SZ,1.9312
000652.SZ,1.1469
000655.SZ,1.5102
000656.SZ,
000657.SZ,4.0731
000659.SZ,18.9323
000661.SZ,1.9089
000663.SZ,2.413
000665.SZ,1.5981
000668.SZ,1.9091
000669.SZ,132.3961
000672.SZ,1.0685
000676.SZ,2.6078
000670.SZ,154.7851
000677.SZ,9.1383
000678.SZ,9.5173
000679.SZ,12.8824
000680.SZ,2.7863
000681.SZ,4.0117
000685.SZ,0.844
000682.SZ,2.7207
000683.SZ,1.5144
000686.SZ,1.0117
000688.SZ,4.5557
000690.SZ,0.8444
000691.SZ,
000692.SZ,13.4583
000697.SZ,77.2687
000695.SZ,17.9283
000698.SZ,2.3711
000700.SZ,2.0202
000701.SZ,
000702.SZ,8.2901
000703.SZ,0.9477
000705.SZ,1.5883
000707.SZ,1.3686
000708.SZ,1.666
000709.SZ,0.4915
000711.SZ,7.3479
000710.SZ,3.1358
000712.SZ,5.6455
000713.SZ,2.2459
000715.SZ,1.7626
000716.SZ,1.9179
000717.SZ,0.9226
000718.SZ,0.7052
000720.SZ,1.9083
000719.SZ,1.2265
000721.SZ,17.8789
000722.SZ,1.877
