ts_code,pe
000010.SZ,302.7228
000006.SZ,
000004.SZ,
000001.SZ,5.4065
000002.SZ,
000008.SZ,
000007.SZ,46.1753
000009.SZ,135.516
000011.SZ,
000017.SZ,260.6141
000014.SZ,184.2624
000020.SZ,106.2867
000012.SZ,55.0204
000019.SZ,24.6231
000016.SZ,
000021.SZ,31.0156
000028.SZ,22.1502
000026.SZ,32.6305
000029.SZ,
000032.SZ,83.4506
000027.SZ,15.9675
000031.SZ,
000025.SZ,53.8232
000030.SZ,15.6673
000035.SZ,38.5864
000034.SZ,37.4863
000036.SZ,125.0935
000037.SZ,256.6899
000045.SZ,61.7204
000039.SZ,14.8404
000042.SZ,
000048.SZ,11.9979
000050.SZ,
000049.SZ,21.5782
000056.SZ,
000055.SZ,31.2936
000059.SZ,
000058.SZ,294.6784
000060.SZ,16.9975
000061.SZ,29.5067
000063.SZ,19.18
000062.SZ,126.757
000065.SZ,11.9438
000068.SZ,270.2314
000069.SZ,
000066.SZ,
000070.SZ,
000078.SZ,
000089.SZ,33.5593
000088.SZ,17.6485
000090.SZ,10.5987
000096.SZ,65.8931
000099.SZ,59.098
000100.SZ,55.8547
000151.SZ,
000153.SZ,20.4306
000155.SZ,25.8554
000166.SZ,25.7576
000333.SZ,14.2558
000157.SZ,18.499
000301.SZ,
000156.SZ,28.5921
000158.SZ,
000159.SZ,
000338.SZ,11.6863
000401.SZ,
000403.SZ,24.0876
000400.SZ,21.2064
000402.SZ,
000404.SZ,11.4245
000407.SZ,26.8736
000408.SZ,30.7839
000409.SZ,93.3536
000410.SZ,2245.273
000411.SZ,11.212
000419.SZ,21.3081
000417.SZ,23.2442
000420.SZ,369.9904
000415.SZ,23.5356
000421.SZ,84.9316
000422.SZ,22.0025
000423.SZ,21.135
000426.SZ,22.2613
000425.SZ,17.701
000428.SZ,
000429.SZ,16.8643
000430.SZ,
000488.SZ,
000498.SZ,4.0577
000501.SZ,41.5845
000504.SZ,
000507.SZ,17.4126
000505.SZ,187.2284
000506.SZ,
000503.SZ,
000509.SZ,
000510.SZ,
000513.SZ,17.546
000514.SZ,
000516.SZ,
000517.SZ,
000518.SZ,
000519.SZ,
000520.SZ,
000521.SZ,10.7077
000523.SZ,11.8778
000524.SZ,55.8406
000525.SZ,23.0131
000526.SZ,36.6902
000528.SZ,17.6891
000530.SZ,49.6748
000529.SZ,30.1539
000531.SZ,40.3111
000533.SZ,56.9238
000532.SZ,33.8021
000536.SZ,
000534.SZ,45.6295
000537.SZ,18.011
000538.SZ,20.9968
000539.SZ,25.7548
000541.SZ,22.0978
000543.SZ,7.8434
000544.SZ,8.1399
000545.SZ,
000546.SZ,104.5624
000547.SZ,
000548.SZ,34.5795
000550.SZ,11.7762
000552.SZ,11.2385
000554.SZ,33.5923
000555.SZ,
000553.SZ,
000551.SZ,23.0347
000557.SZ,31.6064
000558.SZ,
000559.SZ,26.7151
000560.SZ,94.9744
000561.SZ,
000564.SZ,
000565.SZ,844.9685
000563.SZ,13.5265
000566.SZ,
000567.SZ,38.6043
000568.SZ,13.3451
000570.SZ,228.235
000571.SZ,
000573.SZ,
000576.SZ,263.5792
000572.SZ,
000581.SZ,11.6862
000582.SZ,16.0752
000586.SZ,
000589.SZ,11.5689
000591.SZ,14.4861
000590.SZ,
000593.SZ,124.8342
000592.SZ,
000595.SZ,
000596.SZ,13.2369
000597.SZ,20.0911
000598.SZ,10.6453
000603.SZ,28.3569
000599.SZ,
000605.SZ,161.7419
000601.SZ,75.6548
000600.SZ,25.1046
000607.SZ,
000608.SZ,
000609.SZ,
000619.SZ,
000612.SZ,17.6593
000610.SZ,
000617.SZ,22.6644
000615.SZ,
000620.SZ,
000623.SZ,14.7618
000625.SZ,17.3193
000626.SZ,
000627.SZ,
000628.SZ,261.5275
000629.SZ,88.3209
000630.SZ,18.3581
000631.SZ,85.7751
000632.SZ,
000633.SZ,217.6511
000635.SZ,
000637.SZ,
000636.SZ,47.7046
000639.SZ,
000638.SZ,119.5662
000650.SZ,16.7907
000651.SZ,8.2565
000652.SZ,57.1558
000655.SZ,24.7519
000656.SZ,
000657.SZ,39.9292
000659.SZ,
000661.SZ,16.5746
000663.SZ,
000665.SZ,
000668.SZ,
000669.SZ,
000672.SZ,14.3528
000676.SZ,51.5218
000670.SZ,
000677.SZ,107.897
000678.SZ,
000679.SZ,
000680.SZ,13.705
000681.SZ,120.7744
000685.SZ,12.0586
000682.SZ,20.5841
000683.SZ,11.888
000686.SZ,22.0477
000688.SZ,
000690.SZ,14.5565
000691.SZ,
000692.SZ,
000697.SZ,
000695.SZ,
000698.SZ,
000700.SZ,11.7405
000701.SZ,
000702.SZ,
000703.SZ,91.9368
000705.SZ,90.7241
000707.SZ,10.9475
000708.SZ,12.801
000709.SZ,35.5076
000711.SZ,
000710.SZ,
000712.SZ,
000713.SZ,63.9144
000715.SZ,33.5355
000716.SZ,63.3904
000717.SZ,
000718.SZ,39.8667
000720.SZ,
000719.SZ,13.0843
000721.SZ,
000722.SZ,85.4355
000723.SZ,
000726.SZ,14.0228
000725.SZ,28.1136
000727.SZ,117.2271
000728.SZ,16.7016
000729.SZ,35.0289
000731.SZ,14.6217
000733.SZ,27.886
002281.SZ,61.0279
002286.SZ,36.4525
002284.SZ,39.8478
002287.SZ,26.8363
002289.SZ,
002290.SZ,76.9857
002292.SZ,
002291.SZ,
002294.SZ,88.5635
002293.SZ,16.418
002295.SZ,103.118
002298.SZ,
002297.SZ,
002296.SZ,16.4467
002299.SZ,29.1336
002300.SZ,51.9649
002301.SZ,81.1761
002302.SZ,
002303.SZ,21.9146
002306.SZ,
002305.SZ,
002304.SZ,15.5286
002307.SZ,
002309.SZ,
002310.SZ,
002311.SZ,21.2586
002312.SZ,39.6369
002316.SZ,212.8384
002314.SZ,
002313.SZ,
002317.SZ,
002315.SZ,36.1682
002319.SZ,
002318.SZ,14.8702
002320.SZ,68.4605
002322.SZ,17.3802
002321.SZ,181.9121
002324.SZ,102.8443
002323.SZ,
002326.SZ,
002327.SZ,11.2848
002328.SZ,30.9862
002329.SZ,
002330.SZ,
002332.SZ,25.9269
002331.SZ,97.3791
002333.SZ,71.6952
002334.SZ,24.6623
002335.SZ,69.763
002337.SZ,90.3884
002340.SZ,32.8427
002342.SZ,
002338.SZ,180.6677
002339.SZ,132.7181
002343.SZ,128.0188
002344.SZ,64.6795
002346.SZ,101.4154
002345.SZ,76.1192
002350.SZ,101.8025
002348.SZ,
002349.SZ,30.3152
002351.SZ,26.2041
002347.SZ,252.8622
002352.SZ,23.6846
002353.SZ,17.6824
002356.SZ,
002354.SZ,
002355.SZ,22.6175
002357.SZ,26.1089
002358.SZ,55.6594
002360.SZ,
002361.SZ,207.4426
002362.SZ,
002363.SZ,73.4655
002364.SZ,85.5399
002366.SZ,
002367.SZ,16.5945
002368.SZ,82.3216
002365.SZ,93.9877
002369.SZ,
002370.SZ,148.5247
002371.SZ,42.246
002373.SZ,
002372.SZ,17.9814
002374.SZ,
002376.SZ,133.2671
002375.SZ,17.6171
002377.SZ,
002378.SZ,65.5781
002380.SZ,24.5966
002379.SZ,
002381.SZ,19.2149
002382.SZ,
002383.SZ,
002384.SZ,88.2363
002385.SZ,52.2318
002386.SZ,
002388.SZ,
002389.SZ,300.6178
002387.SZ,
002390.SZ,71.3258
002391.SZ,
002392.SZ,25.2604
002393.SZ,33.4755
002397.SZ,110.0099
002394.SZ,16.1248
002396.SZ,41.4595
002398.SZ,76.9408
002395.SZ,10.4268
002399.SZ,29.5618
002400.SZ,133.6907
002401.SZ,56.4447
002402.SZ,67.96
002404.SZ,23.2064
002403.SZ,357.118
002405.SZ,
002406.SZ,51.9557
002407.SZ,
002408.SZ,451.3771
002409.SZ,30.0218
002413.SZ,
002412.SZ,15.6504
002410.SZ,87.9324
002415.SZ,22.1785
002414.SZ,
002416.SZ,25.7879
002418.SZ,
002419.SZ,88.9768
002422.SZ,19.9274
002420.SZ,29.6352
002421.SZ,276.1219
002423.SZ,23.2715
002424.SZ,254.8122
002425.SZ,
002426.SZ,
002427.SZ,
002428.SZ,281.3202
002432.SZ,11.2692
002431.SZ,
002429.SZ,12.7122
002430.SZ,24.1309
002434.SZ,46.217
002437.SZ,34.2523
002436.SZ,
002438.SZ,25.4731
002440.SZ,40.0662
002439.SZ,
002442.SZ,23.059
002441.SZ,30.4919
002443.SZ,17.3953
002445.SZ,100.9884
002444.SZ,16.9193
002446.SZ,
002448.SZ,26.6059
002452.SZ,18.2824
002451.SZ,178.906
002449.SZ,111.0209
002453.SZ,
002454.SZ,38.7825
002456.SZ,660.7512
002458.SZ,20.2694
002455.SZ,37.894
002459.SZ,
002457.SZ,15.1469
002460.SZ,
002461.SZ,28.7363
002462.SZ,27.2701
002465.SZ,655.3043
002466.SZ,
002468.SZ,25.5391
002467.SZ,122.6142
002463.SZ,37.98
002469.SZ,21.4189
002470.SZ,95.2466
002471.SZ,
002474.SZ,
002478.SZ,7.9271
002472.SZ,29.0185
002476.SZ,53.176
002475.SZ,19.7718
002479.SZ,19.2634
002480.SZ,
002481.SZ,70.2806
002485.SZ,
002483.SZ,12.9963
002484.SZ,34.636
002482.SZ,
002486.SZ,122.4675
002487.SZ,43.0258
002488.SZ,565.0901
002489.SZ,17.2754
002491.SZ,79.055
002490.SZ,
002492.SZ,45.1604
002493.SZ,126.0254
002495.SZ,104.1845
002494.SZ,90.6794
002496.SZ,
002497.SZ,63.9229
002498.SZ,17.9764
002500.SZ,31.2666
002501.SZ,
002507.SZ,19.0985
002506.SZ,219.299
002508.SZ,11.6275
002510.SZ,70.1251
002511.SZ,134.1686
002512.SZ,193.197
002513.SZ,
002514.SZ,
002516.SZ,48.6716
002517.SZ,25.6483
002515.SZ,143.1171
002518.SZ,35.8311
002519.SZ,
002520.SZ,
002521.SZ,44.7762
002522.SZ,62.7739
002523.SZ,107.1463
002524.SZ,
002526.SZ,62.546
002527.SZ,
002528.SZ,
002529.SZ,
002530.SZ,
002531.SZ,58.5379
002532.SZ,10.1069
002534.SZ,23.5517
002533.SZ,14.6097
002535.SZ,34.6423
002536.SZ,37.1422
002537.SZ,222.2873
002538.SZ,14.8554
002539.SZ,16.0936
002542.SZ,
002540.SZ,16.5598
002541.SZ,15.8326
002543.SZ,15.672
002544.SZ,1458.7258
002545.SZ,21.8712
002546.SZ,18.9218
002548.SZ,109.721
002547.SZ,
002550.SZ,36.6292
002549.SZ,
002551.SZ,176.066
002552.SZ,25.3664
002553.SZ,377.4917
002554.SZ,
300246.SZ,
300245.SZ,
300247.SZ,82.0273
300248.SZ,64.1415
300251.SZ,207.4511
