ts_code,pe_ttm
000010.SZ,146.3291
000006.SZ,
000004.SZ,
000001.SZ,5.51
000002.SZ,
000008.SZ,
000007.SZ,45.2675
000009.SZ,86.5046
000011.SZ,
000017.SZ,224.7374
000014.SZ,
000020.SZ,104.7518
000012.SZ,
000019.SZ,22.7085
000016.SZ,
000021.SZ,29.2211
000028.SZ,24.4642
000026.SZ,37.8115
000029.SZ,
000032.SZ,98.7593
000027.SZ,14.2193
000031.SZ,
000025.SZ,54.2278
000030.SZ,15.6573
000035.SZ,58.7318
000034.SZ,38.3864
000036.SZ,196.3196
000037.SZ,145.4116
000045.SZ,61.6604
000039.SZ,12.8509
000042.SZ,
000048.SZ,11.0976
000050.SZ,
000049.SZ,21.3301
000056.SZ,
000055.SZ,35.8603
000059.SZ,
000058.SZ,311.1164
000060.SZ,16.4843
000061.SZ,30.1415
000063.SZ,19.8584
000062.SZ,103.3754
000065.SZ,13.0237
000068.SZ,183.1766
000069.SZ,
000066.SZ,
000070.SZ,
000078.SZ,
000089.SZ,29.0775
000088.SZ,16.9497
000090.SZ,11.6712
000096.SZ,61.0883
000099.SZ,57.6402
000100.SZ,37.387
000151.SZ,
000153.SZ,21.6402
000155.SZ,34.2956
000166.SZ,23.1389
000333.SZ,13.0931
000157.SZ,16.221
000301.SZ,
000156.SZ,28.0025
000158.SZ,
000159.SZ,
000338.SZ,11.5738
000401.SZ,
000403.SZ,25.1986
000400.SZ,21.7832
000402.SZ,
000404.SZ,10.7011
000407.SZ,25.2591
000408.SZ,25.7596
000409.SZ,112.3279
000410.SZ,998.3746
000411.SZ,11.3436
000419.SZ,26.5736
000417.SZ,27.5772
000420.SZ,683.6137
000415.SZ,17.9588
000421.SZ,52.9009
000422.SZ,26.1172
000423.SZ,20.2062
000426.SZ,20.334
000425.SZ,16.5335
000428.SZ,
000429.SZ,14.6446
000430.SZ,
000488.SZ,
000498.SZ,4.0491
000501.SZ,40.8372
000504.SZ,
000507.SZ,16.2396
000505.SZ,301.3079
000506.SZ,
000503.SZ,
000509.SZ,
000510.SZ,
000513.SZ,17.3035
000514.SZ,51.1791
000516.SZ,
000517.SZ,
000518.SZ,
000519.SZ,
000520.SZ,
000521.SZ,10.3219
000523.SZ,12.1144
000524.SZ,54.9367
000525.SZ,22.4811
000526.SZ,32.4325
000528.SZ,15.7932
000530.SZ,49.2953
000529.SZ,30.0965
000531.SZ,28.8673
000533.SZ,53.788
000532.SZ,62.3508
000536.SZ,
000534.SZ,44.0479
000537.SZ,16.5782
000538.SZ,20.0161
000539.SZ,54.5718
000541.SZ,23.0784
000543.SZ,7.8776
000544.SZ,8.6316
000545.SZ,
000546.SZ,126.5555
000547.SZ,
000548.SZ,43.0959
000550.SZ,13.1707
000552.SZ,18.7232
000554.SZ,24.9457
000555.SZ,
000553.SZ,
000551.SZ,21.5741
000557.SZ,34.0054
000558.SZ,
000559.SZ,26.3079
000560.SZ,128.3929
000561.SZ,
000564.SZ,
000565.SZ,
000563.SZ,13.1458
000566.SZ,
000567.SZ,65.7323
000568.SZ,13.3265
000570.SZ,141.4803
000571.SZ,
000573.SZ,31.6943
000576.SZ,386.6541
