ts_code,revenue_growth
000010.SZ,76.203
000006.SZ,540.2783
000004.SZ,18.6752
000001.SZ,-13.0539
000002.SZ,-38.3145
000008.SZ,23.6201
000007.SZ,120.4111
000009.SZ,-2.7199
000011.SZ,21.3521
000017.SZ,42.4662
000014.SZ,-96.2314
000020.SZ,-3.2201
000012.SZ,-22.2535
000019.SZ,14.3265
000016.SZ,3.3246
000021.SZ,7.6209
000028.SZ,-4.1747
000026.SZ,-13.2322
000029.SZ,457.3832
000032.SZ,-18.408
000027.SZ,1.7763
000031.SZ,32.2146
000025.SZ,-56.6805
000030.SZ,-3.6449
000035.SZ,-3.6359
000034.SZ,8.5643
000036.SZ,4.2665
000037.SZ,-27.5121
000045.SZ,2.1779
000039.SZ,11.0448
000042.SZ,-38.3131
000048.SZ,-11.9003
000050.SZ,7.2522
000049.SZ,6.6892
000056.SZ,-29.3494
000055.SZ,-17.6106
000059.SZ,-3.0503
000058.SZ,-13.5603
000060.SZ,-10.7792
000061.SZ,46.7714
000063.SZ,7.8157
000062.SZ,17.2383
000065.SZ,-27.2168
000068.SZ,-20.9799
000069.SZ,-38.4018
000066.SZ,7.321
000070.SZ,-26.1595
000078.SZ,-8.8075
000089.SZ,11.2019
000088.SZ,-14.0448
000090.SZ,4.8642
000096.SZ,-37.8685
000099.SZ,8.3713
000100.SZ,0.4187
000151.SZ,-47.3709
000153.SZ,-16.054
000155.SZ,-16.6191
000166.SZ,-3.5368
000333.SZ,20.4869
000157.SZ,2.9199
000301.SZ,-17.5006
000156.SZ,3.6189
000158.SZ,38.3707
000159.SZ,-49.9611
000338.SZ,1.922
000401.SZ,16.8223
000403.SZ,-14.0003
000400.SZ,-16.4219
000402.SZ,-57.9421
000404.SZ,-1.5182
000407.SZ,-5.671
000408.SZ,-4.7408
000409.SZ,-20.5466
000410.SZ,0.4557
000411.SZ,-1.8725
000419.SZ,6.292
000417.SZ,6.5504
000420.SZ,32.3949
000415.SZ,99.8237
000421.SZ,36.196
000422.SZ,-6.2896
000423.SZ,18.243
000426.SZ,50.3746
000425.SZ,10.9223
000428.SZ,-14.7124
000429.SZ,-6.6295
000430.SZ,0.6391
000488.SZ,-88.2108
000498.SZ,1.9503
000501.SZ,-8.6205
000504.SZ,-13.5532
000507.SZ,-10.887
000505.SZ,-41.294
000506.SZ,95.788
000503.SZ,5.3264
000509.SZ,-17.2816
000510.SZ,-10.9273
000513.SZ,-1.9202
000514.SZ,-1.641
000516.SZ,-14.9909
000517.SZ,-65.9607
000518.SZ,-22.2649
000519.SZ,-30.0557
000520.SZ,-23.2383
000521.SZ,23.7833
000523.SZ,-10.143
000524.SZ,1.2329
000525.SZ,0.2406
000526.SZ,22.4568
000528.SZ,15.2438
000530.SZ,0.2642
000529.SZ,-8.5401
000531.SZ,-7.7858
000533.SZ,7.4414
000532.SZ,13.7334
000536.SZ,-19.1297
000534.SZ,15.3364
000537.SZ,19.8062
000538.SZ,0.6214
000539.SZ,-17.33
000541.SZ,-14.7839
000543.SZ,-8.0964
000544.SZ,-25.6669
000545.SZ,-3.6208
000546.SZ,84.5911
000547.SZ,-33.0948
000548.SZ,-51.7985
000550.SZ,-0.0923
000552.SZ,-32.1317
000554.SZ,-4.7619
000555.SZ,22.1305
000553.SZ,-4.4769
000551.SZ,0.3676
000557.SZ,-3.034
000558.SZ,90.5428
000559.SZ,27.3946
