ts_code,roe
000010.SZ,-1.9389
000006.SZ,-0.4811
000004.SZ,-20.0864
000001.SZ,2.8165
000002.SZ,-3.1278
000008.SZ,-1.416
000007.SZ,0.9839
000009.SZ,1.6841
000011.SZ,0.1488
000017.SZ,1.7036
000014.SZ,-0.5892
000020.SZ,1.4568
000012.SZ,0.1172
000019.SZ,1.8392
000016.SZ,4.0025
000021.SZ,1.4891
000028.SZ,1.8392
000026.SZ,1.3242
000029.SZ,2.0403
000032.SZ,-0.5259
000027.SZ,2.7425
000031.SZ,-2.4597
000025.SZ,1.9626
000030.SZ,2.0356
000035.SZ,0.9751
000034.SZ,2.1809
000036.SZ,0.1129
000037.SZ,-0.8315
000045.SZ,0.7043
000039.SZ,1.0683
000042.SZ,4.1127
000048.SZ,2.5756
000050.SZ,0.353
000049.SZ,0.7371
000056.SZ,-25.9064
000055.SZ,0.5376
000059.SZ,-3.0229
000058.SZ,1.1342
000060.SZ,1.9062
000061.SZ,1.1725
000063.SZ,3.3815
000062.SZ,1.5073
000065.SZ,1.8265
000068.SZ,-2.4752
000069.SZ,-2.7062
000066.SZ,-1.4388
000070.SZ,-1.0079
000078.SZ,1.3124
000089.SZ,1.4245
000088.SZ,1.7356
000090.SZ,0.2762
000096.SZ,0.5157
000099.SZ,1.6994
000100.SZ,1.8976
000151.SZ,-7.8495
000153.SZ,1.8621
000155.SZ,2.2782
000166.SZ,1.8708
000333.SZ,5.5633
000157.SZ,2.4422
000301.SZ,0.9946
000156.SZ,0.8703
000158.SZ,-1.874
000159.SZ,1.2182
000338.SZ,3.0771
000401.SZ,-3.2086
000403.SZ,1.1179
000400.SZ,1.8198
000402.SZ,-1.5457
000404.SZ,6.2107
000407.SZ,0.9232
000408.SZ,12.1683
000409.SZ,2.0565
000410.SZ,-3.0634
000411.SZ,2.15
000419.SZ,0.2433
000417.SZ,1.5881
000420.SZ,0.1882
000415.SZ,2.1206
000421.SZ,1.204
000422.SZ,0.4603
000423.SZ,4.0387
000426.SZ,4.6281
000425.SZ,3.3502
000428.SZ,-4.1749
000429.SZ,6.0977
000430.SZ,-11.4003
000488.SZ,-17.2178
000498.SZ,1.0237
000501.SZ,1.2902
000504.SZ,-0.9402
000507.SZ,1.2334
000505.SZ,0.409
000506.SZ,-0.5868
000503.SZ,-3.2959
000509.SZ,0.6152
000510.SZ,-2.8345
000513.SZ,4.5434
000514.SZ,4.8295
000516.SZ,-2.9365
000517.SZ,0.3315
000518.SZ,-4.3751
000519.SZ,-1.2665
000520.SZ,-0.5473
000521.SZ,2.94
000523.SZ,0.614
000524.SZ,1.1657
000525.SZ,1.0169
000526.SZ,8.7895
000528.SZ,3.6982
000530.SZ,0.9566
000529.SZ,0.4378
000531.SZ,1.4618
000533.SZ,2.2208
000532.SZ,2.4581
000536.SZ,-19.7419
000534.SZ,5.0959
000537.SZ,1.2888
000538.SZ,4.8609
000539.SZ,-1.6801
000541.SZ,0.9787
000543.SZ,2.776
000544.SZ,3.5876
000545.SZ,-1.352
000546.SZ,0.3878
000547.SZ,-3.5512
000548.SZ,0.9672
000550.SZ,2.6736
000552.SZ,0.3
000554.SZ,4.9828
000555.SZ,-1.6605
000553.SZ,0.7928
000551.SZ,2.9924
000557.SZ,1.0701
000558.SZ,2.5799
000559.SZ,3.1528
000560.SZ,0.0668
000561.SZ,-2.6652
000564.SZ,-0.0409
000565.SZ,0.4223
000563.SZ,2.1403
000566.SZ,-13.9228
000567.SZ,1.8414
000568.SZ,9.4159
000570.SZ,1.2941
000571.SZ,-15.7702
000573.SZ,6.8803
000576.SZ,0.4511
000572.SZ,-1.7229
000581.SZ,1.7689
000582.SZ,1.1064
000586.SZ,0.7908
000589.SZ,0.7501
000591.SZ,1.224
000590.SZ,-2.7547
000593.SZ,0.3935
000592.SZ,0.229
000595.SZ,-7.9415
000596.SZ,9.1155
000597.SZ,0.6802
000598.SZ,2.7503
000603.SZ,0.2726
000599.SZ,-6.7639
000605.SZ,0.8452
000601.SZ,2.2826
000600.SZ,4.1551
000607.SZ,-2.3882
000608.SZ,-0.7049
000609.SZ,-22.7928
000619.SZ,-0.9531
000612.SZ,2.5547
000610.SZ,-14.6556
000617.SZ,1.2433
000615.SZ,
