ts_code,turnover_rate
000010.SZ,10.2519
000006.SZ,3.17
000004.SZ,3.0774
000001.SZ,0.4276
000002.SZ,0.5293
000008.SZ,5.6337
000007.SZ,6.6006
000009.SZ,0.5622
000011.SZ,0.8758
000017.SZ,3.8076
000014.SZ,2.4943
000020.SZ,5.4712
000012.SZ,0.5415
000019.SZ,1.4917
000016.SZ,1.9484
000021.SZ,1.4622
000028.SZ,0.4932
000026.SZ,15.2104
000029.SZ,0.6013
000032.SZ,3.373
000027.SZ,0.8906
000031.SZ,0.349
000025.SZ,1.7192
000030.SZ,0.4798
000035.SZ,0.5176
000034.SZ,5.7393
000036.SZ,0.7221
000037.SZ,4.3145
000045.SZ,1.9138
000039.SZ,1.1792
000042.SZ,0.5817
000048.SZ,0.8513
000050.SZ,0.4343
000049.SZ,1.0871
000056.SZ,7.2479
000055.SZ,1.2186
000059.SZ,0.9138
000058.SZ,2.2532
000060.SZ,1.1838
000061.SZ,0.4621
000063.SZ,1.2026
000062.SZ,1.6048
000065.SZ,5.8603
000068.SZ,1.8528
000069.SZ,0.4529
000066.SZ,2.5746
000070.SZ,12.9669
000078.SZ,1.4682
000089.SZ,0.7038
000088.SZ,0.3935
000090.SZ,0.8429
000096.SZ,1.0399
000099.SZ,3.2619
000100.SZ,1.0279
000151.SZ,1.3768
000153.SZ,4.3558
000155.SZ,1.0025
000166.SZ,0.2412
000333.SZ,0.2905
000157.SZ,1.3494
000301.SZ,0.0995
000156.SZ,0.5991
000158.SZ,5.2363
000159.SZ,9.3248
000338.SZ,0.8439
000401.SZ,0.8709
000403.SZ,2.6649
000400.SZ,2.0001
000402.SZ,0.5701
000404.SZ,1.8506
000407.SZ,1.9616
000408.SZ,0.4521
000409.SZ,9.0043
000410.SZ,0.6912
000411.SZ,2.082
000419.SZ,1.7441
000417.SZ,1.6246
000420.SZ,3.0961
000415.SZ,0.7569
000421.SZ,2.557
000422.SZ,1.5658
000423.SZ,0.5497
000426.SZ,1.8915
000425.SZ,2.8492
000428.SZ,1.1725
000429.SZ,0.2633
000430.SZ,2.0947
000488.SZ,11.0595
000498.SZ,2.3276
000501.SZ,4.1069
000504.SZ,1.4584
000507.SZ,1.0979
000505.SZ,1.5016
000506.SZ,2.168
000503.SZ,3.0889
000509.SZ,0.9982
000510.SZ,14.4387
000513.SZ,1.1218
000514.SZ,3.2319
000516.SZ,2.3391
000517.SZ,0.8239
000518.SZ,1.0191
000519.SZ,5.2449
000520.SZ,2.3105
000521.SZ,0.9796
000523.SZ,0.9981
000524.SZ,4.1428
000525.SZ,1.6917
000526.SZ,1.3783
000528.SZ,5.5931
000530.SZ,7.1018
